"beta0","betaExR","omega","alpha","gamma","phi","betaGDP","betaDebt"
0.000756222777479015,0.338338978470054,-1.23722011226536,0.403874728934331,0.136107589546916,0.832337355318562,-0.118945563318473,0.206986934545789
0.000533802156443271,0.437611016580938,-1.66459332109432,0.468955531956729,0.167799931030004,0.786432584043491,-0.185899787992469,0.234474867766011
0.00129874487682436,0.485193750468197,-2.29376943634958,0.307505875166638,0.321426673186426,0.720462762658341,-0.173257057932206,0.258395666602698
0.000952995908310747,0.483996988704468,-1.4470357119066,0.461286741368782,0.182947328329186,0.809459354044349,-0.182662322490851,0.254562636720115
0.00116864022578837,0.647481216301713,-1.49662120829813,0.387744237761452,0.265611723920215,0.805549960759415,-0.198045972732841,0.318088864320597
0.00143754968202775,0.266691167238212,-1.4702510470848,0.476410715845311,0.226006399776787,0.807907631201418,-0.169013013378664,0.267393202850437
0.00136498810451237,0.194420401028719,-1.46717141613517,0.546939436112043,0.171485203434126,0.798504295100672,-0.107455218253814,0.242973078756118
0.000805459753829478,0.467015000884219,-1.62565028555476,0.534350219520628,0.176881589991962,0.781908871190827,-0.121691588103795,0.291351037653441
0.000780002209584032,0.340349632289505,-1.35461781303954,0.470710528331172,0.188916008479515,0.820591118709975,-0.154672805427242,0.191322243880548
0.00155869170565575,0.445559979389624,-1.87315652586281,0.525969761876757,0.12550918474844,0.754940734266153,-0.174752061623551,0.297235941022813
0.000874163123732588,0.503633128352971,-1.51919956432238,0.461068627069886,0.24141168195906,0.799834650187049,-0.193365919353979,0.240278183450972
0.00114086058582851,0.412252684508675,-2.27993521906653,0.454630841052828,0.248403424720414,0.711844331747487,-0.120202971056758,0.386517254336682
0.000569380822945623,0.317917459099262,-1.63297042124805,0.350293101809129,0.241602887547667,0.79713065296548,-0.0911595448968517,0.246484971335019
0.00101481484248841,0.406909300243546,-2.06710300049691,0.387876838827609,0.279303315762762,0.740501638362152,-0.157702480489585,0.312433685886057
0.00127417068509307,0.168331491645256,-1.97786486463524,0.575259256440564,0.27457659704177,0.747084784331731,-0.0809502163402264,0.38428219679167
0.000771342268766696,0.262765686035775,-2.09882914764641,0.368358681224122,0.390798149582164,0.73702251630278,-0.186658216171866,0.264165858554328
0.00116049200022473,0.499591851492246,-1.46068611513769,0.423380515358262,0.191243882211018,0.810546948171448,-0.139930399964369,0.224075853862323
0.00014969551620722,0.378918764072181,-1.9139983422494,0.274372847887176,0.310581297117978,0.770810734956955,-0.128788310829169,0.254325133719377
0.000349899200038874,0.505920427544556,-1.72076471421865,0.50421721501344,0.225224041875727,0.775188822014541,-0.0734297431835998,0.327981255433879
0.000376989944846277,0.376368609449029,-1.96353847025806,0.487786469805244,0.323877023505323,0.748231841468495,-0.080445829389918,0.41085502964332
0.0002565075488251,0.320975107357147,-1.26978488941435,0.510748885862921,0.143103516222648,0.828920290646421,-0.116081262520381,0.252033064646893
0.00092249067786889,0.29460200210707,-1.08234280683229,0.506119262967615,0.073825896004511,0.851613454377967,-0.138978163564591,0.207856732657655
0.00085703203828761,0.433890132925188,-1.53782343828185,0.442526585352119,0.234185344080167,0.803187696516734,-0.156993431598487,0.236103848055391
0.000720995385724008,0.36983379990456,-1.32649686497308,0.609249040841312,0.0590288882431199,0.817312350298782,-0.0420642131919382,0.341304624385664
0.0015344853581795,0.232507355552467,-1.80716399245778,0.451547132700579,0.287700278050146,0.768370167340572,-0.167772364851712,0.298878255888758
0.00152937919382221,0.36167600603041,-1.16759880317194,0.378859743755321,0.156768979463246,0.846711690098676,-0.139116786460408,0.125840249575088
0.00102496405298287,0.309677048710914,-1.62357505926943,0.449647424182275,0.162684571582902,0.789684774051741,-0.156611542300742,0.273247395326109
0.00113961182492316,0.467964068102335,-1.72584604968173,0.487156305574517,0.226660751725402,0.776193371203652,-0.0567102365252301,0.355723725621264
0.000505473498662862,0.412405587114935,-2.24777604321802,0.495327070474873,0.23266584325492,0.717056392795085,-0.0761103654799796,0.405024291486464
